symbol,date,open,high,low,close,volume,adjusted
VVAR3.SA,2016-07-01,3.1,3.7,2.61,2.9,84400,2.883677
VVAR3.SA,2016-08-01,2.95,3.18,2.71,2.89,102400,2.873733
VVAR3.SA,2016-09-01,2.89,3.1,2.72,3.09,20800,3.072607
VVAR3.SA,2016-10-01,3,4.37,2.98,3.75,421900,3.731532
VVAR3.SA,2016-11-01,3.8,4.4,3.2,3.63,354300,3.612123
VVAR3.SA,2016-12-01,3.63,3.75,3.22,3.6,325700,3.582271
VVAR3.SA,2017-01-01,3.75,3.97,3.13,3.25,360600,3.233994
VVAR3.SA,2017-02-01,3.25,4.15,3.18,4.04,447500,4.020104
VVAR3.SA,2017-03-01,4.07,4.4,3.55,3.64,322700,3.622074
VVAR3.SA,2017-04-01,3.64,4.5,3.6,4.5,125700,4.477839
VVAR3.SA,2017-05-01,4.5,5.32,3.52,3.69,221400,3.671828
VVAR3.SA,2017-06-01,3.7,4.18,3.7,4.02,95500,4.000203
VVAR3.SA,2017-07-01,4.1,6.18,4.07,5.86,280900,5.831141
VVAR3.SA,2017-08-01,5.81,6.85,5.52,6.7,284200,6.667004
VVAR3.SA,2017-09-01,6.8,7.91,6.7,7.84,844900,7.80139
VVAR3.SA,2017-10-01,7.89,8.6,7.15,7.6,790000,7.562572
VVAR3.SA,2017-11-01,7.78,8.02,6.21,7.36,336600,7.323754
VVAR3.SA,2017-12-01,7.5,7.94,7.03,7.93,293100,7.890947
VVAR3.SA,2018-01-01,7.93,8.89,7.37,8.1,467200,8.088036
VVAR3.SA,2018-02-01,8.28,8.35,7.35,7.88,295300,7.868361
VVAR3.SA,2018-03-01,7.88,8.59,7.43,8.15,286300,8.137961
VVAR3.SA,2018-04-01,8.21,8.7,7.65,8.11,426000,8.098021
VVAR3.SA,2018-05-01,8.11,8.18,6,6.5,326200,6.5
VVAR3.SA,2018-06-01,6.68,7.16,5.6,5.89,171900,5.89
VVAR3.SA,2018-07-01,5.71,7.31,5.26,7.15,542500,7.15
VVAR3.SA,2018-08-01,7.48,8.41,5.64,5.7,720500,5.7
VVAR3.SA,2018-09-01,6,6,4.29,5.06,2204900,5.06
VVAR3.SA,2018-10-01,5.15,5.8,4.26,5.6,3883100,5.6
VVAR3.SA,2018-11-01,5.61,5.7,4.76,5.18,36557300,5.18
VVAR3.SA,2018-12-01,5.21,5.29,4.14,4.39,196515400,4.39
VVAR3.SA,2019-01-01,4.39,6.03,3.86,6,417881400,6
VVAR3.SA,2019-02-01,6,6.16,4.36,4.58,472138200,4.58
VVAR3.SA,2019-03-01,4.64,4.88,4.01,4.22,207564900,4.22
VVAR3.SA,2019-04-01,4.29,4.68,3.8,4.1,275861800,4.1
VVAR3.SA,2019-05-01,4.1,4.92,3.97,4.7,447005100,4.7
VVAR3.SA,2019-06-01,4.9,5.23,4.62,5.07,981825500,5.07
VVAR3.SA,2019-07-01,5.1,7.87,5.05,7.72,1011795800,7.72
VVAR3.SA,2019-08-01,7.85,8.66,6.32,7.73,851713000,7.73
VVAR3.SA,2019-09-01,7.6,7.98,6.6,7.92,528834800,7.92
VVAR3.SA,2019-10-01,7.95,8.06,7.23,7.42,505714300,7.42
VVAR3.SA,2019-11-01,7.46,8.96,6.44,8.81,621547200,8.81
VVAR3.SA,2019-12-01,9.17,12.03,8.97,11.17,999312900,11.17
VVAR3.SA,2020-01-01,11.17,15.43,11.17,14,1018774900,14
VVAR3.SA,2020-02-01,14.25,16.639999,13.03,13.81,765910400,13.81
VVAR3.SA,2020-03-01,14,15.14,4.11,5.28,2078091400,5.28
VVAR3.SA,2020-04-01,4.66,9.81,3.96,9.18,2632985500,9.18
VVAR3.SA,2020-05-01,9.18,12.9,8.14,12.4,2686347300,12.4
VVAR3.SA,2020-06-01,12.31,16.66,12.24,15.31,2041929700,15.31
VVAR3.SA,2020-07-01,15.65,22.360001,15.11,19.52,2143018200,19.52
VVAR3.SA,2020-08-01,19.889999,21.15,17.34,20.5,1932991900,20.5
VVAR3.SA,2020-09-01,20.67,20.76,16.65,17.35,1329775400,17.35
VVAR3.SA,2020-10-01,17.4,20.48,16.549999,17.16,1118557000,17.16
VVAR3.SA,2020-11-01,17.16,19.9,16.870001,17.75,1137849600,17.75
VVAR3.SA,2020-12-01,18,18.139999,14.71,16.16,811946400,16.16
VVAR3.SA,2021-01-01,16.16,16.77,13.88,14.69,932091100,14.69
VVAR3.SA,2021-02-01,14.95,15.48,11.75,11.87,769848800,11.87
VVAR3.SA,2021-03-01,12.06,12.6,10.95,12.07,1228489400,12.07
VVAR3.SA,2021-04-01,12.1,13.45,11.83,11.83,846803800,11.83
VVAR3.SA,2021-05-01,11.95,13.07,11.61,12.98,708285800,12.98
LAME4.SA,2012-05-01,9.313199,9.952589,7.454475,8.07236,94322737,7.624121
LAME4.SA,2012-06-01,7.932837,8.803191,7.680369,8.803191,53771727,8.31437
LAME4.SA,2012-07-01,8.6836,10.112043,8.457707,9.673544,48950325,9.136393
LAME4.SA,2012-08-01,9.673544,10.331292,9.268265,9.759915,75981513,9.21797
LAME4.SA,2012-09-01,9.733339,10.902669,9.520734,10.543897,65670279,9.958417
LAME4.SA,2012-10-01,10.477458,12.105218,10.437595,11.307948,45514099,10.699188
LAME4.SA,2012-11-01,11.307948,11.307948,11.307948,11.307948,0,10.699188
LAME4.SA,2012-12-01,11.307948,11.307948,11.307948,11.307948,0,10.699188
LAME4.SA,2013-01-01,11.307948,11.307948,11.307948,11.307948,0,10.699188
LAME4.SA,2013-02-01,11.307948,11.307948,11.307948,11.307948,0,10.706492
LAME4.SA,2013-03-01,11.307948,12.756322,11.201645,11.527197,55324274,10.91408
LAME4.SA,2013-04-01,11.540485,12.078642,10.98904,11.779666,65390623,11.194087
LAME4.SA,2013-05-01,11.779666,12.071998,11.115274,11.493977,59184796,10.922602
LAME4.SA,2013-06-01,11.434182,11.533841,9.48087,10.324648,87239932,9.811399
LAME4.SA,2013-07-01,10.258209,10.789722,9.620393,10.570473,61391777,10.045005
LAME4.SA,2013-08-01,10.623624,10.962464,9.587173,10.058891,84510664,9.558855
LAME4.SA,2013-09-01,10.098755,11.899256,10.052247,10.816298,65366690,10.27861
LAME4.SA,2013-10-01,10.929244,11.812886,10.709995,11.015615,54051379,10.486519
LAME4.SA,2013-11-01,11.048835,11.128562,9.945945,10.563829,66446024,10.056432
LAME4.SA,2013-12-01,10.484102,10.690063,10.012384,10.450882,51508907,9.94891
LAME4.SA,2014-01-01,10.450882,10.557185,9.534022,9.766559,66542350,9.297456
LAME4.SA,2014-02-01,9.739983,9.839642,9.062304,9.613749,43807575,9.160287
LAME4.SA,2014-03-01,9.613749,11.168425,9.294841,11.115274,57186428,10.590988
LAME4.SA,2014-04-01,11.095342,11.859393,10.922601,11.274728,55137186,10.744959
LAME4.SA,2014-05-01,11.274728,11.693295,10.962464,11.037208,45114813,10.518602
LAME4.SA,2014-06-01,10.88772,12.282943,10.88772,11.709905,43814378,11.15969
LAME4.SA,2014-07-01,11.792954,12.664968,11.29466,12.000576,42729835,11.436704
LAME4.SA,2014-08-01,11.959052,13.213091,11.817868,13.213091,40296454,12.592244
LAME4.SA,2014-09-01,13.246311,13.32936,11.469063,11.535502,55682195,10.993482
LAME4.SA,2014-10-01,11.369404,12.374297,10.190109,12.141759,91743808,11.594151
LAME4.SA,2014-11-01,12.12515,14.575094,11.593636,14.101715,59735587,13.465712
LAME4.SA,2014-12-01,13.835959,14.483741,12.241418,14.317643,123465641,13.671901
LAME4.SA,2015-01-01,14.317643,14.350862,12.51548,13.038688,56534943,12.450628
LAME4.SA,2015-02-01,12.988859,14.267813,12.316162,13.711385,38802757,13.105824
LAME4.SA,2015-03-01,13.852568,14.259508,12.623443,13.661556,58040681,13.058194
LAME4.SA,2015-04-01,13.835959,14.849156,13.644946,13.960532,49015649,13.387875
LAME4.SA,2015-05-01,13.927312,15.197962,13.379189,13.520372,65634277,12.965771
LAME4.SA,2015-06-01,13.379189,14.558485,13.29614,14.367472,55911578,13.77812
LAME4.SA,2015-07-01,14.450521,15.413889,13.968837,14.234594,45987431,13.650694
LAME4.SA,2015-08-01,14.176459,14.309338,11.826173,13.536982,65957097,12.981695
LAME4.SA,2015-09-01,13.163262,14.400692,12.224808,13.453933,64177183,12.902055
LAME4.SA,2015-10-01,13.545287,15.571682,13.254616,13.877483,67822981,13.346162
LAME4.SA,2015-11-01,13.877483,15.937098,13.844263,14.317643,54125043,13.769471
LAME4.SA,2015-12-01,14.525265,17.141308,14.15985,16.1115,52310810,15.494649
LAME4.SA,2016-01-01,16.1115,16.1115,14.259508,15.480328,45256541,14.887642
LAME4.SA,2016-02-01,15.29762,16.842331,13.885788,16.51844,39519443,15.915887
LAME4.SA,2016-03-01,16.609795,19.225838,15.986927,16.58322,56532395,15.978306
LAME4.SA,2016-04-01,16.732706,16.732706,14.310999,15.9753,28410235,15.405767
LAME4.SA,2016-05-01,15.9753,16.324106,13.07523,15.317552,52697711,14.771467
LAME4.SA,2016-06-01,15.447109,16.14472,13.75291,16.025129,47613361,15.453818
LAME4.SA,2016-07-01,16.14472,19.283972,16.045061,19.084654,45275484,18.404268
LAME4.SA,2016-08-01,19.433458,20.509773,18.117964,19.164381,55032476,18.523022
LAME4.SA,2016-09-01,19.204245,20.888477,18.4867,20.121105,40543638,19.447725
LAME4.SA,2016-10-01,20.031412,21.566156,19.901855,20.629366,33265704,19.938976
LAME4.SA,2016-11-01,20.798784,20.798784,15.536801,16.324106,47644668,15.794054
LAME4.SA,2016-12-01,16.344038,17.410385,14.958781,16.94199,55363005,16.391876
LAME4.SA,2017-01-01,16.792501,18.337214,16.244379,16.672911,58736718,16.131533
LAME4.SA,2017-02-01,16.822399,17.440285,16.074959,16.344038,117821235,15.836334
LAME4.SA,2017-03-01,16.443695,17.231001,15.148132,16.304174,140327228,15.797709
LAME4.SA,2017-04-01,16.344038,16.792501,15.486972,16.782536,69602095,16.261208
LAME4.SA,2017-05-01,16.782536,18.237555,13.41407,14.55018,193792271,14.098199
LAME4.SA,2017-06-01,14.55018,14.749497,13.154957,13.952227,90208811,13.518819
LAME4.SA,2017-07-01,14.002056,15.646426,13.653251,15.616529,99677118,15.131422
LAME4.SA,2017-08-01,15.626494,17.988407,14.869088,17.709364,105272613,17.159246
LAME4.SA,2017-09-01,17.759192,20.290525,17.619671,19.184313,101857159,18.588377
LAME4.SA,2017-10-01,19.333801,20.719057,16.981853,17.520012,113235687,16.975777
LAME4.SA,2017-11-01,17.559874,17.709364,14.739531,14.779395,133372199,14.320292
LAME4.SA,2017-12-01,14.649838,17.201103,14.50035,16.991819,81470998,16.463993
LAME4.SA,2018-01-01,16.991819,17.221035,15.247791,16.842331,144434946,16.319147
LAME4.SA,2018-02-01,16.94199,17.191137,15.108269,16.822399,111731353,16.37566
